,AssistorName,AssistorX,AssistorY,ScorerName,ScorerX,ScorerY,PassDefenderName,PassDefenderX,PassDefenderY,ShotDefenderName,ShotDefenderX,ShotDefenderY,TeamName,OtherTeamName,LocationScorer,LocationAssistor
3323,203468.0,30.542610000000003,17.60617,201945.0,4.790430000000001,14.018799999999999,2216.0,27.007359999999977,31.75877,201145.0,43.60477,36.50321,POR,MEM,Corner2,AboveTheBreak3
3324,2216.0,23.67572,17.28331,201584.0,15.065170000000002,26.337090000000003,202334.0,18.69646,19.02725,203090.0,13.50292,28.15933,,POR,Midrange2,Midrange2
3325,203468.0,23.480249999999998,49.51328,201945.0,8.08811,40.250389999999996,201596.0,28.592889999999997,5.71177,201596.0,39.01408000000001,9.84039,POR,MIA,Corner2,AboveTheBreak3
3326,201596.0,11.87972,37.63128,2216.0,22.30728,32.6609,203468.0,8.9759,34.06469,203090.0,20.905620000000006,25.89063,,POR,Midrange2,Corner2
3327,201188.0,28.32808,15.42286,201584.0,10.8611,23.685270000000006,202334.0,20.52849,17.52593,203090.0,8.5182,25.59893,,POR,Paint,AboveTheBreak3
3328,203090.0,11.926319999999976,21.6876,203486.0,8.48442,30.63405,201145.0,36.95133,26.1584,201188.0,41.269730000000024,21.57752,POR,LAC,Paint,Paint
3329,203081.0,43.14161,7.944109999999988,202329.0,15.166349999999994,2.2368799999999993,201144.0,10.034469999999999,34.21174,2216.0,35.77306,37.66713,POR,MEM,AboveTheBreak3,AboveTheBreak3
3330,2216.0,11.68804,10.93465,201144.0,24.54402,24.40286,202329.0,10.77654,13.250420000000002,203081.0,15.53414,26.15859,MEM,POR,Midrange2,Corner2
3331,203081.0,34.51269,37.75439,203459.0,10.77216,42.49804,201144.0,26.448180000000022,16.088260000000002,201144.0,38.45713000000001,11.97042,POR,MEM,Corner2,AboveTheBreak3
3332,203468.0,37.08449,23.21112,203081.0,21.8568,42.8416,201144.0,28.473840000000006,26.62761,201144.0,22.21025,37.85814,POR,MEM,AboveTheBreak3,AboveTheBreak3
3333,201584.0,15.263069999999999,21.29696,2216.0,6.101869999999977,8.59534,203468.0,35.531819999999996,30.89462,203486.0,43.12178,32.66198,,POR,Corner2,Midrange2
3334,201596.0,4.664469999999994,27.29139,2216.0,25.59218,31.396379999999994,203081.0,43.147369999999995,21.58428,203486.0,35.314930000000004,21.67804,,POR,Midrange2,Paint
3335,201584.0,16.963669999999993,3.3967600000000004,201596.0,28.093310000000002,12.82967,203081.0,35.09446,39.48802,203486.0,28.51343,28.91631,,POR,AboveTheBreak3,AboveTheBreak3
3336,2754.0,5.277069999999995,13.550379999999997,2216.0,25.06244000000001,16.934779999999996,203459.0,43.665000000000006,33.9829,202334.0,30.507719999999978,30.22241,MEM,POR,Midrange2,Corner2
3337,201584.0,11.70505,24.11734,2754.0,24.92756999999999,14.370059999999988,203459.0,34.277649999999994,25.88414,201945.0,32.16123,32.08511,,POR,AboveTheBreak3,Paint
3338,201596.0,15.779600000000002,35.18878,203210.0,25.00663,25.55394,203468.0,33.410489999999996,16.78611,203090.0,31.353530000000006,30.807540000000003,,POR,Midrange2,Midrange2
3339,203081.0,9.07845,27.59892,203086.0,29.78087,22.61655,201188.0,9.24949,23.5931,201188.0,15.2004,23.72139,POR,MEM,AboveTheBreak3,Paint
3340,201144.0,23.537990000000022,26.37078,201188.0,15.714919999999978,37.60304,203081.0,29.491699999999994,22.85827,203086.0,37.649100000000004,15.05313,MEM,POR,Midrange2,Midrange2
3341,202696.0,20.455330000000004,33.363479999999996,203095.0,5.527929999999998,45.68808,203458.0,37.623599999999996,16.9952,203458.0,41.803219999999996,12.75788,ORL,PHX,Corner2,Midrange2
3342,202339.0,20.00968,36.11831,202720.0,26.73165,24.64,203901.0,22.51489,34.57499,203095.0,20.42042,20.04292,PHX,ORL,Midrange2,Midrange2
3343,203901.0,30.95169,11.530679999999997,202699.0,22.38637,29.77142,202339.0,23.045550000000006,38.69943,200782.0,33.590269999999975,18.42552,,PHX,Midrange2,AboveTheBreak3
3344,203901.0,23.72216999999999,27.0462,202699.0,5.627209999999977,2.6806899999999985,202339.0,31.621619999999993,23.74089,203458.0,43.05694,35.8756,,PHX,Corner2,Midrange2
3345,203458.0,6.135210000000001,25.85852,202696.0,10.888269999999977,31.16305,203095.0,47.030680000000004,25.20284,203458.0,41.193980000000025,18.486,,,Paint,Paint
3346,203901.0,29.863749999999996,12.10893,203095.0,13.812169999999995,27.41103,202688.0,30.371980000000022,34.90406,202688.0,33.17509,26.81382,ORL,PHX,Midrange2,AboveTheBreak3
3347,203094.0,11.16125,36.85166,203141.0,25.00894,40.15766,203458.0,12.65724,34.18958,203094.0,22.41167,34.55188,,,AboveTheBreak3,Corner2
